Node 1

Echo Requests Sent,Echo Requests Received,Echo Replies Sent,Echo Replies Received
128,49,49,128
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
89452,51904
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
84076,49846

Average RTT (milliseconds),2.56
Echo Request Throughput (kB/sec),272.47
Echo Request Goodput (kB/sec),256.09
Average Reply Delay (microseconds),55.51
Average Echo Request Hop Count,1.89

Node 2

Echo Requests Sent,Echo Requests Received,Echo Replies Sent,Echo Replies Received
82,160,160,82
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
53040,113816
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
49596,107096

Average RTT (milliseconds),2.68
Echo Request Throughput (kB/sec),241.61
Echo Request Goodput (kB/sec),225.92
Average Reply Delay (microseconds),55.65
Average Echo Request Hop Count,2.19

Node 3

Echo Requests Sent,Echo Requests Received,Echo Replies Sent,Echo Replies Received
72,98,98,72
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
53070,62908
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
50046,58792

Average RTT (milliseconds),2.78
Echo Request Throughput (kB/sec),265.2
Echo Request Goodput (kB/sec),250.09
Average Reply Delay (microseconds),54.86
Average Echo Request Hop Count,2.19

Node 4

Echo Requests Sent,Echo Requests Received,Echo Replies Sent,Echo Replies Received
108,86,86,108
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
75232,42388
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
70696,38776

Average RTT (milliseconds),3.04
Echo Request Throughput (kB/sec),229.26
Echo Request Goodput (kB/sec),215.44
Average Reply Delay (microseconds),53.31
Average Echo Request Hop Count,2.29
